plan_id,plan_name,region,season,price_range,category,duration_days,itinerary
PLN001,沖縄3泊4日ファミリープラン,沖縄,spring,"80,000〜120,000",ファミリー,4,那覇→美ら海水族館→古宇利島→国際通り
PLN002,沖縄リゾートステイ,沖縄,summer,"60,000〜100,000",カップル,3,恩納村リゾート→青の洞窟シュノーケリング→アメリカンビレッジ
PLN003,北海道ラベンダー畑ツアー,北海道,summer,"70,000〜110,000",ファミリー,4,札幌→富良野ラベンダー畑→旭山動物園→小樽運河
PLN004,京都紅葉めぐり,京都,autumn,"50,000〜80,000",シニア,3,東福寺→嵐山→金閣寺→清水寺
PLN005,箱根温泉週末プラン,箱根,winter,"30,000〜50,000",カップル,2,箱根湯本→大涌谷→芦ノ湖遊覧→箱根神社
PLN006,石垣島ダイビング,沖縄,summer,"90,000〜140,000",アクティブ,4,石垣島→竹富島→マンタスクランブル→川平湾
PLN007,東北温泉巡り,東北,winter,"40,000〜70,000",シニア,3,銀山温泉→蔵王温泉→鳴子温泉
PLN008,九州グルメツアー,九州,autumn,"55,000〜85,000",グループ,3,博多→長崎→熊本→別府
PLN009,北海道スキーリゾート,北海道,winter,"80,000〜130,000",ファミリー,4,新千歳→ニセコ→ルスツ→小樽
PLN010,奄美大島ネイチャー,鹿児島,spring,"65,000〜95,000",カップル,3,奄美空港→マングローブカヌー→加計呂麻島→あやまる岬
PLN011,四国お遍路ウォーキング,四国,spring,"45,000〜75,000",シニア,4,高松→金刀比羅宮→道後温泉→桂浜
PLN012,長野高原リトリート,長野,summer,"35,000〜60,000",カップル,2,軽井沢→白糸の滝→旧軽井沢銀座→ハルニレテラス
PLN013,広島・宮島歴史探訪,広島,autumn,"50,000〜80,000",グループ,3,広島平和記念公園→宮島厳島神社→尾道
PLN014,伊豆半島ドライブ,静岡,spring,"25,000〜45,000",カップル,2,熱海→伊豆高原→城ヶ崎海岸→修善寺
PLN015,屋久島トレッキング,鹿児島,summer,"85,000〜120,000",アクティブ,4,屋久島空港→白谷雲水峡→縄文杉→ウミガメ産卵地
PLN016,金沢文化体験,石川,autumn,"45,000〜70,000",グループ,3,兼六園→ひがし茶屋街→近江町市場→21世紀美術館
PLN017,日光・鬼怒川温泉,栃木,autumn,"30,000〜55,000",ファミリー,2,日光東照宮→華厳の滝→鬼怒川温泉→江戸ワンダーランド
PLN018,函館ロマンチック旅,北海道,winter,"55,000〜85,000",カップル,3,函館山夜景→五稜郭→朝市→大沼公園
PLN019,宮古島絶景ビーチ,沖縄,summer,"95,000〜150,000",カップル,4,宮古島→伊良部大橋→与那覇前浜→シギラビーチ
PLN020,信州そば巡り,長野,autumn,"28,000〜48,000",シニア,2,松本城→安曇野→戸隠神社→善光寺
