review_id,plan_name,rating,comment,review_date
RV00001,四国お遍路ウォーキング,2,予約の変更がしにくかった,2025-01-31
RV00002,石垣島ダイビング,4,子どもが大喜びでした。また行きたい,2025-03-17
RV00003,四国お遍路ウォーキング,5,ホテルが清潔で快適でした,2024-09-03
RV00004,奄美大島ネイチャー,4,コスパが良く、友人にもおすすめしたい,2025-01-14
RV00005,東北温泉巡り,3,観光スポットは良かったが、食事が普通,2025-03-19
RV00006,信州そば巡り,5,食事が美味しくて大満足,2024-05-31
RV00007,九州グルメツアー,3,全体的に満足だが、移動時間が長かった,2024-09-30
RV00008,北海道ラベンダー畑ツアー,5,写真映えスポットが多くて嬉しかった,2025-01-23
RV00009,日光・鬼怒川温泉,5,写真映えスポットが多くて嬉しかった,2024-04-02
RV00010,長野高原リトリート,3,もう少し自由時間が欲しかった,2024-07-24
RV00011,金沢文化体験,3,観光スポットは良かったが、食事が普通,2024-12-07
RV00012,沖縄リゾートステイ,4,最高の旅行でした！景色が素晴らしい,2024-11-14
RV00013,伊豆半島ドライブ,3,観光スポットは良かったが、食事が普通,2024-12-18
RV00014,北海道ラベンダー畑ツアー,3,もう少し自由時間が欲しかった,2024-05-21
RV00015,金沢文化体験,5,写真映えスポットが多くて嬉しかった,2024-11-26
RV00016,伊豆半島ドライブ,4,最高の旅行でした！景色が素晴らしい,2024-05-25
RV00017,広島・宮島歴史探訪,5,ホテルが清潔で快適でした,2024-05-23
RV00018,宮古島絶景ビーチ,4,最高の旅行でした！景色が素晴らしい,2024-07-09
RV00019,京都紅葉めぐり,4,最高の旅行でした！景色が素晴らしい,2024-11-27
RV00020,日光・鬼怒川温泉,4,最高の旅行でした！景色が素晴らしい,2024-06-20
RV00021,広島・宮島歴史探訪,4,最高の旅行でした！景色が素晴らしい,2024-12-25
RV00022,奄美大島ネイチャー,4,コスパが良く、友人にもおすすめしたい,2024-11-06
RV00023,屋久島トレッキング,3,天候に恵まれず少し残念,2024-05-23
RV00024,沖縄リゾートステイ,5,子どもが大喜びでした。また行きたい,2024-08-07
RV00025,屋久島トレッキング,2,予約の変更がしにくかった,2025-02-03
RV00026,石垣島ダイビング,5,子どもが大喜びでした。また行きたい,2024-09-12
RV00027,伊豆半島ドライブ,4,最高の旅行でした！景色が素晴らしい,2024-12-31
RV00028,屋久島トレッキング,4,食事が美味しくて大満足,2024-08-12
