booking_id,plan_name,destination,departure_date,pax,revenue,customer_segment,booking_date
BK00001,京都紅葉めぐり,京都,2025-05-01,2,105713,シニア,2025-03-20
BK00002,函館ロマンチック旅,北海道,2025-05-09,3,68147,カップル,2025-02-16
BK00003,信州そば巡り,長野,2025-06-05,2,248913,シニア,2025-03-19
BK00004,屋久島トレッキング,鹿児島,2024-07-16,5,255335,アクティブ,2024-06-04
BK00005,伊豆半島ドライブ,静岡,2024-11-20,2,291768,カップル,2024-10-09
BK00006,京都紅葉めぐり,京都,2024-11-20,4,443971,シニア,2024-09-30
BK00007,京都紅葉めぐり,京都,2024-10-07,4,583394,シニア,2024-09-20
BK00008,宮古島絶景ビーチ,沖縄,2025-01-08,1,99615,カップル,2024-12-24
BK00009,京都紅葉めぐり,京都,2024-10-31,3,395384,シニア,2024-09-19
BK00010,東北温泉巡り,東北,2024-06-03,4,405358,シニア,2024-04-23
BK00011,石垣島ダイビング,沖縄,2024-08-09,2,217193,アクティブ,2024-07-02
BK00012,函館ロマンチック旅,北海道,2025-01-27,5,433263,シニア,2024-12-10
BK00013,広島・宮島歴史探訪,広島,2024-11-30,2,240098,グループ,2024-11-15
BK00014,金沢文化体験,石川,2024-12-09,3,166167,一人旅,2024-09-11
BK00015,北海道スキーリゾート,北海道,2024-08-06,5,311216,カップル,2024-06-06
BK00016,日光・鬼怒川温泉,栃木,2024-08-10,4,482235,ファミリー,2024-07-23
BK00017,伊豆半島ドライブ,静岡,2024-06-15,3,466405,カップル,2024-05-31
BK00018,函館ロマンチック旅,北海道,2025-04-17,4,353453,シニア,2025-03-27
BK00019,京都紅葉めぐり,京都,2025-01-03,2,71895,シニア,2024-11-02
BK00020,日光・鬼怒川温泉,栃木,2025-03-12,6,907933,一人旅,2024-12-31
BK00021,信州そば巡り,長野,2025-01-16,3,155940,一人旅,2024-12-21
BK00022,沖縄3泊4日ファミリープラン,沖縄,2024-07-17,3,188379,シニア,2024-05-30
BK00023,九州グルメツアー,九州,2025-04-09,5,168195,グループ,2025-03-03
BK00024,北海道ラベンダー畑ツアー,北海道,2024-07-26,2,326378,ファミリー,2024-07-03
BK00025,日光・鬼怒川温泉,栃木,2024-07-26,6,665799,ファミリー,2024-05-26
BK00026,奄美大島ネイチャー,鹿児島,2024-12-08,3,536233,カップル,2024-09-09
BK00027,九州グルメツアー,九州,2025-04-19,1,91526,グループ,2025-02-28
BK00028,北海道ラベンダー畑ツアー,北海道,2024-06-30,2,135394,ファミリー,2024-04-04
BK00029,日光・鬼怒川温泉,栃木,2025-01-12,4,235965,一人旅,2024-12-01
BK00030,宮古島絶景ビーチ,沖縄,2024-09-09,4,784740,カップル,2024-08-02
BK00031,伊豆半島ドライブ,静岡,2024-12-02,3,562851,カップル,2024-10-02
BK00032,京都紅葉めぐり,京都,2025-04-28,4,617823,シニア,2025-03-01
BK00033,東北温泉巡り,東北,2024-09-03,2,78819,シニア,2024-07-01
BK00034,北海道ラベンダー畑ツアー,北海道,2024-11-03,2,415617,ファミリー,2024-08-18
BK00035,九州グルメツアー,九州,2025-03-06,3,199434,カップル,2025-01-06
BK00036,広島・宮島歴史探訪,広島,2025-05-26,2,295823,グループ,2025-03-31
BK00037,函館ロマンチック旅,北海道,2024-07-06,2,97777,カップル,2024-04-28
BK00038,函館ロマンチック旅,北海道,2025-04-17,2,168927,一人旅,2025-03-01
BK00039,石垣島ダイビング,沖縄,2025-05-14,2,134923,アクティブ,2025-03-03
BK00040,九州グルメツアー,九州,2024-09-29,6,564256,グループ,2024-09-07
BK00041,信州そば巡り,長野,2025-04-20,4,420134,カップル,2025-02-19
BK00042,四国お遍路ウォーキング,四国,2025-01-09,3,449672,シニア,2024-11-30
BK00043,北海道ラベンダー畑ツアー,北海道,2025-06-01,4,746330,ファミリー,2025-03-28
BK00044,東北温泉巡り,東北,2024-08-25,2,139655,シニア,2024-07-16
BK00045,奄美大島ネイチャー,鹿児島,2025-03-15,5,675359,アクティブ,2025-01-11
BK00046,日光・鬼怒川温泉,栃木,2025-06-13,2,196813,シニア,2025-03-28
BK00047,京都紅葉めぐり,京都,2025-04-24,2,139473,カップル,2025-02-06
BK00048,北海道スキーリゾート,北海道,2024-09-24,2,271466,ファミリー,2024-07-17
BK00049,伊豆半島ドライブ,静岡,2024-11-23,1,134059,カップル,2024-11-11
BK00050,屋久島トレッキング,鹿児島,2024-08-23,4,222447,カップル,2024-06-23
BK00051,函館ロマンチック旅,北海道,2025-05-07,4,153671,カップル,2025-03-14
BK00052,長野高原リトリート,長野,2025-05-03,2,200679,カップル,2025-03-12
BK00053,函館ロマンチック旅,北海道,2024-11-30,4,223774,カップル,2024-09-05
BK00054,伊豆半島ドライブ,静岡,2025-04-18,4,392864,カップル,2025-03-20
BK00055,九州グルメツアー,九州,2024-12-13,4,168371,グループ,2024-11-16
BK00056,金沢文化体験,石川,2025-01-10,5,424498,カップル,2024-12-09
BK00057,九州グルメツアー,九州,2025-04-20,3,228633,シニア,2025-03-20
BK00058,長野高原リトリート,長野,2024-07-19,3,641774,ファミリー,2024-05-08
BK00059,北海道スキーリゾート,北海道,2025-03-22,6,253572,ファミリー,2024-12-31
BK00060,長野高原リトリート,長野,2024-12-24,4,492689,カップル,2024-10-23
BK00061,北海道スキーリゾート,北海道,2025-05-11,1,110237,アクティブ,2025-03-10
BK00062,東北温泉巡り,東北,2024-11-28,2,218823,シニア,2024-09-27
BK00063,京都紅葉めぐり,京都,2025-01-09,2,155441,シニア,2024-10-30
BK00064,函館ロマンチック旅,北海道,2025-02-26,3,204834,一人旅,2025-01-26
BK00065,宮古島絶景ビーチ,沖縄,2024-12-26,3,124629,カップル,2024-10-29
BK00066,宮古島絶景ビーチ,沖縄,2024-08-24,2,257613,カップル,2024-05-26
BK00067,金沢文化体験,石川,2025-01-22,2,246468,グループ,2025-01-05
BK00068,九州グルメツアー,九州,2024-06-07,2,96373,グループ,2024-04-22
BK00069,金沢文化体験,石川,2024-06-09,3,461198,グループ,2024-05-24
BK00070,広島・宮島歴史探訪,広島,2024-09-18,2,249389,ファミリー,2024-07-22
BK00071,伊豆半島ドライブ,静岡,2025-01-08,5,732508,カップル,2024-12-10
BK00072,九州グルメツアー,九州,2025-04-04,2,193988,一人旅,2025-01-29
BK00073,四国お遍路ウォーキング,四国,2024-11-11,5,883192,一人旅,2024-08-18
BK00074,屋久島トレッキング,鹿児島,2025-03-18,3,519932,アクティブ,2025-01-10
BK00075,日光・鬼怒川温泉,栃木,2024-10-22,2,145679,ファミリー,2024-07-27
BK00076,北海道スキーリゾート,北海道,2024-11-28,5,138775,ファミリー,2024-10-12
BK00077,箱根温泉週末プラン,箱根,2024-05-09,2,124448,カップル,2024-04-05
BK00078,沖縄リゾートステイ,沖縄,2025-02-15,3,608851,カップル,2024-12-17
BK00079,宮古島絶景ビーチ,沖縄,2024-11-26,1,104961,カップル,2024-09-19
BK00080,伊豆半島ドライブ,静岡,2024-09-14,4,629611,カップル,2024-06-30
BK00081,伊豆半島ドライブ,静岡,2024-08-06,3,453966,カップル,2024-07-27
BK00082,石垣島ダイビング,沖縄,2024-08-28,6,729766,アクティブ,2024-08-05
BK00083,宮古島絶景ビーチ,沖縄,2024-05-07,2,220862,カップル,2024-04-27
BK00084,沖縄リゾートステイ,沖縄,2025-01-13,2,250176,グループ,2024-11-19
BK00085,北海道スキーリゾート,北海道,2024-10-07,5,296102,ファミリー,2024-08-29
BK00086,長野高原リトリート,長野,2025-03-08,2,282598,カップル,2024-12-08
BK00087,九州グルメツアー,九州,2024-12-29,4,208424,グループ,2024-12-20
BK00088,宮古島絶景ビーチ,沖縄,2025-02-15,4,742040,カップル,2024-12-11
BK00089,京都紅葉めぐり,京都,2025-02-23,2,78177,シニア,2025-01-08
BK00090,広島・宮島歴史探訪,広島,2024-10-12,2,272912,グループ,2024-09-10
BK00091,奄美大島ネイチャー,鹿児島,2024-07-08,5,962203,シニア,2024-04-16
BK00092,函館ロマンチック旅,北海道,2024-10-18,2,172125,グループ,2024-08-25
BK00093,京都紅葉めぐり,京都,2024-10-15,4,545550,シニア,2024-08-23
BK00094,石垣島ダイビング,沖縄,2024-10-06,2,476243,グループ,2024-07-08
BK00095,伊豆半島ドライブ,静岡,2024-07-13,2,168966,カップル,2024-06-02
BK00096,屋久島トレッキング,鹿児島,2025-02-02,4,671331,アクティブ,2024-11-28
BK00097,四国お遍路ウォーキング,四国,2025-03-08,2,291756,シニア,2024-12-29
BK00098,信州そば巡り,長野,2024-05-19,4,460911,シニア,2024-04-07
BK00099,伊豆半島ドライブ,静岡,2024-10-11,4,572959,グループ,2024-07-25
BK00100,沖縄3泊4日ファミリープラン,沖縄,2025-03-29,2,259878,ファミリー,2025-02-13
BK00101,長野高原リトリート,長野,2024-10-18,3,462643,カップル,2024-08-02
BK00102,長野高原リトリート,長野,2024-06-11,2,168497,シニア,2024-04-07
BK00103,京都紅葉めぐり,京都,2024-07-31,2,252016,一人旅,2024-07-01
BK00104,信州そば巡り,長野,2024-11-27,5,306630,シニア,2024-11-08
BK00105,沖縄3泊4日ファミリープラン,沖縄,2024-06-18,2,102691,ファミリー,2024-04-04
BK00106,箱根温泉週末プラン,箱根,2024-07-18,2,52069,カップル,2024-05-10
BK00107,屋久島トレッキング,鹿児島,2024-11-08,6,668007,アクティブ,2024-10-09
BK00108,北海道ラベンダー畑ツアー,北海道,2024-11-16,2,362677,ファミリー,2024-09-08
BK00109,宮古島絶景ビーチ,沖縄,2024-11-14,6,419242,カップル,2024-10-28
BK00110,信州そば巡り,長野,2024-06-24,4,313101,シニア,2024-05-20
BK00111,宮古島絶景ビーチ,沖縄,2024-10-10,4,237334,カップル,2024-08-25
BK00112,東北温泉巡り,東北,2024-12-04,2,86207,シニア,2024-11-17
BK00113,伊豆半島ドライブ,静岡,2024-11-05,3,110146,アクティブ,2024-08-14
BK00114,屋久島トレッキング,鹿児島,2025-04-01,6,1339082,アクティブ,2025-02-24
BK00115,東北温泉巡り,東北,2024-09-17,3,237013,シニア,2024-08-27
BK00116,箱根温泉週末プラン,箱根,2025-03-10,2,116787,シニア,2025-02-24
BK00117,屋久島トレッキング,鹿児島,2025-04-04,4,701811,アクティブ,2025-01-28
BK00118,函館ロマンチック旅,北海道,2024-09-24,2,65137,一人旅,2024-07-23
BK00119,北海道スキーリゾート,北海道,2025-04-06,2,214863,ファミリー,2025-03-19
BK00120,沖縄3泊4日ファミリープラン,沖縄,2024-06-02,4,688081,ファミリー,2024-04-22
BK00121,屋久島トレッキング,鹿児島,2024-12-10,6,826466,アクティブ,2024-11-10
BK00122,北海道ラベンダー畑ツアー,北海道,2024-09-24,3,346438,シニア,2024-08-04
BK00123,伊豆半島ドライブ,静岡,2024-06-20,2,222802,カップル,2024-04-11
BK00124,屋久島トレッキング,鹿児島,2025-04-03,2,161081,アクティブ,2025-02-15
BK00125,日光・鬼怒川温泉,栃木,2025-06-16,3,97401,ファミリー,2025-04-01
BK00126,金沢文化体験,石川,2024-07-18,4,205594,グループ,2024-05-16
BK00127,奄美大島ネイチャー,鹿児島,2024-10-28,2,281953,カップル,2024-08-20
BK00128,石垣島ダイビング,沖縄,2025-01-09,1,104839,ファミリー,2024-10-24
BK00129,屋久島トレッキング,鹿児島,2025-04-30,5,838647,アクティブ,2025-01-31
BK00130,北海道スキーリゾート,北海道,2024-11-08,6,292201,ファミリー,2024-09-01
BK00131,東北温泉巡り,東北,2024-08-10,4,175569,シニア,2024-05-30
BK00132,伊豆半島ドライブ,静岡,2024-12-19,2,66482,カップル,2024-10-09
BK00133,宮古島絶景ビーチ,沖縄,2024-08-17,5,674213,カップル,2024-06-09
BK00134,函館ロマンチック旅,北海道,2024-08-21,3,198831,カップル,2024-06-27
BK00135,宮古島絶景ビーチ,沖縄,2024-10-23,5,514024,アクティブ,2024-09-17
BK00136,広島・宮島歴史探訪,広島,2024-12-15,6,675432,グループ,2024-09-16
BK00137,宮古島絶景ビーチ,沖縄,2024-11-02,5,552503,ファミリー,2024-10-14
BK00138,箱根温泉週末プラン,箱根,2024-12-03,6,188741,シニア,2024-09-04
BK00139,信州そば巡り,長野,2024-06-08,4,527716,シニア,2024-04-12
BK00140,函館ロマンチック旅,北海道,2024-11-05,4,516800,ファミリー,2024-09-19
BK00141,信州そば巡り,長野,2025-04-03,4,324522,グループ,2025-02-25
BK00142,京都紅葉めぐり,京都,2024-05-31,3,333783,シニア,2024-05-12
BK00143,四国お遍路ウォーキング,四国,2025-04-17,3,267097,シニア,2025-03-04
BK00144,宮古島絶景ビーチ,沖縄,2024-05-17,2,126351,カップル,2024-04-17
BK00145,九州グルメツアー,九州,2024-10-10,2,190864,グループ,2024-07-21
BK00146,沖縄3泊4日ファミリープラン,沖縄,2024-09-18,4,201901,一人旅,2024-08-06
BK00147,奄美大島ネイチャー,鹿児島,2024-07-09,4,491002,カップル,2024-05-09
BK00148,広島・宮島歴史探訪,広島,2024-08-17,2,198082,グループ,2024-07-28
BK00149,奄美大島ネイチャー,鹿児島,2025-05-17,2,286535,ファミリー,2025-03-21
BK00150,信州そば巡り,長野,2024-09-02,4,250953,シニア,2024-07-21
BK00151,東北温泉巡り,東北,2024-06-27,4,440999,シニア,2024-05-19
BK00152,箱根温泉週末プラン,箱根,2024-06-03,6,449196,ファミリー,2024-05-15
BK00153,宮古島絶景ビーチ,沖縄,2024-10-20,2,191758,カップル,2024-09-27
BK00154,東北温泉巡り,東北,2025-04-10,5,315660,カップル,2025-01-24
BK00155,北海道スキーリゾート,北海道,2024-09-11,4,267038,ファミリー,2024-07-29
BK00156,北海道ラベンダー畑ツアー,北海道,2025-02-23,5,1002292,ファミリー,2025-01-19
BK00157,函館ロマンチック旅,北海道,2024-10-14,4,92242,カップル,2024-09-26
BK00158,長野高原リトリート,長野,2024-06-01,4,872589,カップル,2024-04-22
BK00159,九州グルメツアー,九州,2024-08-13,4,385830,グループ,2024-08-03
BK00160,北海道ラベンダー畑ツアー,北海道,2024-07-16,6,663869,ファミリー,2024-05-11
BK00161,沖縄リゾートステイ,沖縄,2025-04-27,6,341406,カップル,2025-03-13
BK00162,広島・宮島歴史探訪,広島,2024-10-05,4,549668,グループ,2024-08-12
BK00163,宮古島絶景ビーチ,沖縄,2025-03-13,4,832077,カップル,2025-01-12
BK00164,北海道スキーリゾート,北海道,2025-05-09,2,166717,ファミリー,2025-03-16
BK00165,長野高原リトリート,長野,2024-09-24,3,336673,グループ,2024-06-27
BK00166,北海道ラベンダー畑ツアー,北海道,2024-05-31,4,772025,ファミリー,2024-04-27
BK00167,四国お遍路ウォーキング,四国,2024-12-21,4,225975,カップル,2024-11-28
BK00168,宮古島絶景ビーチ,沖縄,2025-01-17,2,165110,カップル,2024-12-12
BK00169,北海道スキーリゾート,北海道,2025-02-09,3,281109,ファミリー,2025-01-17
BK00170,沖縄3泊4日ファミリープラン,沖縄,2025-02-01,3,429707,ファミリー,2025-01-24
BK00171,石垣島ダイビング,沖縄,2024-11-30,2,258194,グループ,2024-11-17
BK00172,屋久島トレッキング,鹿児島,2024-12-09,4,536292,ファミリー,2024-09-28
BK00173,日光・鬼怒川温泉,栃木,2025-01-02,4,112379,ファミリー,2024-10-29
BK00174,広島・宮島歴史探訪,広島,2024-09-15,3,437600,シニア,2024-08-26
BK00175,信州そば巡り,長野,2025-01-31,2,235565,シニア,2025-01-16
BK00176,四国お遍路ウォーキング,四国,2024-12-10,3,322803,シニア,2024-09-18
BK00177,京都紅葉めぐり,京都,2024-07-30,5,556487,シニア,2024-05-01
BK00178,屋久島トレッキング,鹿児島,2025-02-03,2,257453,シニア,2024-12-06
BK00179,伊豆半島ドライブ,静岡,2024-12-01,3,193474,カップル,2024-10-23
BK00180,北海道ラベンダー畑ツアー,北海道,2025-03-07,3,629017,一人旅,2025-02-17
BK00181,沖縄リゾートステイ,沖縄,2024-08-22,4,600094,カップル,2024-06-05
BK00182,伊豆半島ドライブ,静岡,2025-04-18,4,307320,カップル,2025-03-06
BK00183,箱根温泉週末プラン,箱根,2024-07-07,2,66455,カップル,2024-04-30
BK00184,京都紅葉めぐり,京都,2025-01-29,2,196302,一人旅,2024-11-10
BK00185,信州そば巡り,長野,2024-07-19,4,514684,シニア,2024-04-21
BK00186,沖縄3泊4日ファミリープラン,沖縄,2025-02-09,4,395453,ファミリー,2024-12-30
BK00187,石垣島ダイビング,沖縄,2025-04-07,4,201096,アクティブ,2025-01-18
BK00188,沖縄3泊4日ファミリープラン,沖縄,2025-04-29,2,200283,ファミリー,2025-02-14
BK00189,奄美大島ネイチャー,鹿児島,2025-01-04,4,574524,カップル,2024-10-17
BK00190,信州そば巡り,長野,2025-03-24,2,226424,シニア,2025-03-07
BK00191,伊豆半島ドライブ,静岡,2024-12-17,4,202253,カップル,2024-11-13
BK00192,宮古島絶景ビーチ,沖縄,2024-10-08,4,191596,ファミリー,2024-07-26
BK00193,沖縄3泊4日ファミリープラン,沖縄,2025-02-01,6,803738,ファミリー,2024-12-18
BK00194,四国お遍路ウォーキング,四国,2025-02-06,3,270835,シニア,2025-01-30
BK00195,九州グルメツアー,九州,2024-10-05,5,638779,グループ,2024-07-19
BK00196,沖縄リゾートステイ,沖縄,2024-08-30,3,207128,カップル,2024-08-21
BK00197,宮古島絶景ビーチ,沖縄,2024-12-03,3,195223,カップル,2024-09-06
BK00198,信州そば巡り,長野,2024-10-01,2,237015,シニア,2024-08-09
BK00199,広島・宮島歴史探訪,広島,2024-07-24,3,232848,グループ,2024-07-07
BK00200,石垣島ダイビング,沖縄,2025-05-04,4,599659,シニア,2025-02-21
BK00201,長野高原リトリート,長野,2024-05-31,2,133176,カップル,2024-05-06
BK00202,箱根温泉週末プラン,箱根,2024-05-17,2,220828,カップル,2024-05-01
BK00203,宮古島絶景ビーチ,沖縄,2024-08-12,4,896203,カップル,2024-06-09
BK00204,信州そば巡り,長野,2025-01-13,2,145011,シニア,2024-10-18
BK00205,奄美大島ネイチャー,鹿児島,2025-02-02,2,192147,カップル,2024-11-12
BK00206,沖縄リゾートステイ,沖縄,2025-04-26,5,317812,ファミリー,2025-03-03
BK00207,信州そば巡り,長野,2024-08-11,3,325105,ファミリー,2024-06-01
BK00208,屋久島トレッキング,鹿児島,2024-09-11,2,324700,アクティブ,2024-06-13
BK00209,沖縄リゾートステイ,沖縄,2024-09-03,5,982528,一人旅,2024-08-14
BK00210,石垣島ダイビング,沖縄,2025-04-19,4,530629,アクティブ,2025-03-12
BK00211,長野高原リトリート,長野,2024-11-05,3,553533,カップル,2024-09-23
BK00212,四国お遍路ウォーキング,四国,2025-04-17,2,272448,シニア,2025-02-27
BK00213,信州そば巡り,長野,2025-03-05,2,200403,シニア,2025-01-15
BK00214,広島・宮島歴史探訪,広島,2025-04-18,4,151892,グループ,2025-01-25
BK00215,四国お遍路ウォーキング,四国,2025-04-10,2,274239,シニア,2025-01-26
BK00216,長野高原リトリート,長野,2024-11-24,6,793652,カップル,2024-10-25
BK00217,九州グルメツアー,九州,2025-02-16,2,313786,グループ,2025-01-21
BK00218,函館ロマンチック旅,北海道,2024-07-17,4,512966,カップル,2024-07-06
BK00219,広島・宮島歴史探訪,広島,2025-02-09,2,267825,カップル,2025-01-13
BK00220,屋久島トレッキング,鹿児島,2025-05-08,3,500693,アクティブ,2025-03-10
BK00221,奄美大島ネイチャー,鹿児島,2024-09-20,3,301332,カップル,2024-08-15
BK00222,長野高原リトリート,長野,2024-07-08,6,902412,一人旅,2024-04-19
BK00223,日光・鬼怒川温泉,栃木,2024-09-26,5,703373,ファミリー,2024-08-30
BK00224,金沢文化体験,石川,2024-12-09,6,841773,シニア,2024-09-23
BK00225,北海道ラベンダー畑ツアー,北海道,2025-02-19,3,376032,ファミリー,2025-01-09
BK00226,九州グルメツアー,九州,2024-10-04,6,415814,グループ,2024-08-14
BK00227,九州グルメツアー,九州,2024-10-03,3,93750,グループ,2024-09-16
BK00228,四国お遍路ウォーキング,四国,2025-02-10,1,164674,アクティブ,2025-01-17
BK00229,金沢文化体験,石川,2024-11-08,1,32614,グループ,2024-08-15
BK00230,箱根温泉週末プラン,箱根,2024-09-17,3,118792,カップル,2024-06-25
BK00231,京都紅葉めぐり,京都,2025-04-14,3,421927,シニア,2025-03-08
BK00232,金沢文化体験,石川,2024-08-14,1,100479,シニア,2024-05-31
BK00233,伊豆半島ドライブ,静岡,2025-06-25,3,364682,カップル,2025-04-01
BK00234,北海道ラベンダー畑ツアー,北海道,2024-08-29,2,302087,一人旅,2024-07-07
BK00235,函館ロマンチック旅,北海道,2025-05-17,5,150574,シニア,2025-03-22
BK00236,沖縄3泊4日ファミリープラン,沖縄,2024-10-16,2,321576,ファミリー,2024-10-01
BK00237,宮古島絶景ビーチ,沖縄,2024-11-06,1,142511,カップル,2024-10-13
BK00238,屋久島トレッキング,鹿児島,2024-06-17,4,698680,グループ,2024-04-10
BK00239,沖縄リゾートステイ,沖縄,2024-12-04,1,97211,カップル,2024-11-02
BK00240,奄美大島ネイチャー,鹿児島,2024-09-07,6,720716,カップル,2024-07-12
BK00241,東北温泉巡り,東北,2024-12-28,5,166285,シニア,2024-11-06
BK00242,京都紅葉めぐり,京都,2024-11-26,5,621771,シニア,2024-09-25
BK00243,石垣島ダイビング,沖縄,2024-09-29,3,609925,アクティブ,2024-07-21
BK00244,伊豆半島ドライブ,静岡,2025-04-23,4,576833,カップル,2025-02-20
BK00245,京都紅葉めぐり,京都,2025-04-09,4,274619,カップル,2025-02-20
BK00246,屋久島トレッキング,鹿児島,2024-12-07,1,251627,アクティブ,2024-10-04
BK00247,伊豆半島ドライブ,静岡,2025-02-08,6,224212,カップル,2024-11-12
BK00248,長野高原リトリート,長野,2024-08-09,6,499572,カップル,2024-07-13
BK00249,屋久島トレッキング,鹿児島,2025-04-07,2,419123,アクティブ,2025-03-15
BK00250,宮古島絶景ビーチ,沖縄,2025-06-08,2,314835,カップル,2025-03-16
BK00251,北海道ラベンダー畑ツアー,北海道,2024-07-06,3,342315,ファミリー,2024-06-12
BK00252,京都紅葉めぐり,京都,2025-04-18,3,282227,シニア,2025-03-19
BK00253,北海道スキーリゾート,北海道,2024-06-09,2,161195,グループ,2024-04-06
BK00254,東北温泉巡り,東北,2025-02-22,5,310255,ファミリー,2025-01-29
BK00255,四国お遍路ウォーキング,四国,2024-06-15,4,498293,カップル,2024-04-25
BK00256,石垣島ダイビング,沖縄,2024-12-09,2,188772,アクティブ,2024-09-28
BK00257,金沢文化体験,石川,2025-05-11,4,309325,カップル,2025-03-19
BK00258,信州そば巡り,長野,2025-03-03,2,269644,シニア,2025-02-16
BK00259,伊豆半島ドライブ,静岡,2024-06-27,2,181504,カップル,2024-06-11
BK00260,日光・鬼怒川温泉,栃木,2024-10-30,5,674921,ファミリー,2024-10-07
BK00261,箱根温泉週末プラン,箱根,2024-11-02,6,202571,カップル,2024-08-23
BK00262,奄美大島ネイチャー,鹿児島,2025-02-03,2,262725,一人旅,2025-01-07
