hotel_id,hotel_code,name,country,region,city,category,star_rating,room_count,avg_price_per_night_jpy,latitude,longitude,loaded_at
c8e835b7-d67f-4a62-b179-93a01a362935,HOT-00000,韓国 ビーチリゾート,South Korea,韓国,Seoul,resort,4,390,29224,7.393273763807798,175.18634887076286,2026-04-30 07:32:56.990917+00:00
9e2bccfe-e4ad-491a-a895-f4169c8421a3,HOT-00001,静岡 シティホテル,Japan,静岡,静岡,midscale,3,184,15004,41.3314427140552,131.8040127439459,2026-04-30 07:32:56.991045+00:00
a1d98596-a31c-4353-b73b-00f10682a90d,HOT-00002,アメリカ西海岸 ビーチリゾート,USA,アメリカ西海岸,Los Angeles,resort,4,466,37362,-6.31434561667313,38.29062247759265,2026-04-30 07:32:56.991122+00:00
5d7b7e40-aef6-4b59-b5cd-449bafff2c99,HOT-00003,中国 温泉旅館,China,中国,Shanghai,ryokan,4,147,26821,31.19178105885787,22.868365309033436,2026-04-30 07:32:56.991188+00:00
cf290741-9c2b-4cae-b329-1371e1dc0765,HOT-00004,長野 リゾート＆スパ,Japan,長野,長野,luxury,5,521,65761,24.67964241479271,132.1180334133907,2026-04-30 07:32:56.991249+00:00
3ae6af4b-3883-4ca4-bbad-22c673c83e95,HOT-00005,オーストラリア ザ・リッツ,Australia,オーストラリア,Sydney,luxury,5,522,45847,34.60679789593651,138.85386150901064,2026-04-30 07:32:56.991313+00:00
369f8101-21ec-43ec-9f16-85fab14bd4ea,HOT-00006,石川 ビジネスホテル,Japan,石川,金沢,budget,2,162,7441,29.076418715878773,123.62518907044445,2026-04-30 07:32:56.991370+00:00
367f9237-fd6c-4a84-b1af-930e6647c9fe,HOT-00007,ベトナム 温泉旅館,Vietnam,ベトナム,Hanoi,ryokan,4,451,28593,13.161291869543938,-8.591824407452265,2026-04-30 07:32:56.991721+00:00
b57c2a81-1473-44f0-bd29-71a9fe49fd85,HOT-00008,_unit インバウンドイン,Japan,_unit,_unit,budget,2,535,9229,41.858552166823834,131.03996306339678,2026-04-30 07:32:56.991847+00:00
fd65f645-5bd4-4f6c-a08b-b3f0eb1e81ae,HOT-00009,北海道 パレスホテル,Japan,北海道,札幌,luxury,5,543,50885,44.28174514298241,130.6397500971794,2026-04-30 07:32:56.991962+00:00
157dbefa-4173-445a-ad1c-893bef1bc4a5,HOT-00010,大阪 プリンスホテル,Japan,大阪,大阪,upscale,4,89,34712,25.5686997520666,145.7659305917121,2026-04-30 07:32:56.992051+00:00
535bc88b-6072-4c71-b211-ffb1924e1098,HOT-00011,_unit リゾート＆スパ,Japan,_unit,_unit,luxury,5,356,51535,41.037178500525314,137.51097617877107,2026-04-30 07:32:56.992106+00:00
507a4dc7-1bb7-47c5-802d-b51446cac93f,HOT-00012,タイ ビジネスホテル,Thailand,タイ,Bangkok,budget,2,433,7742,4.739275179210949,-55.41702375429551,2026-04-30 07:32:56.992158+00:00
3ed7c9c1-892b-4e90-889e-3ed5582b4cc9,HOT-00013,沖縄 プラザホテル,Japan,沖縄,那覇,upscale,4,171,26311,27.377694019415046,128.66610156101422,2026-04-30 07:32:56.992210+00:00
ceeb8eb0-05b1-4a6d-be9e-6dbcb007acf4,HOT-00014,ロンドン グランドホテル,UK,ロンドン,London,upscale,4,516,33020,-32.22553330749579,95.40878586409548,2026-04-30 07:32:56.992262+00:00
11225ed8-6885-4ff4-ab40-17db32fbf181,HOT-00015,愛知 グランドホテル,Japan,愛知,名古屋,upscale,4,547,26514,30.490422591672697,136.08317752383934,2026-04-30 07:32:56.992750+00:00
f84d756c-7b80-40e3-9d35-a5572ed1699d,HOT-00016,東京 インバウンドイン,Japan,東京,東京,budget,2,373,10051,37.71802013214041,126.10683522100305,2026-04-30 07:32:56.992805+00:00
9228c744-d038-4eec-a158-42aff284f572,HOT-00017,パリ 別邸,France,パリ,Paris,ryokan,4,62,25353,4.683884241415264,-32.74735246353731,2026-04-30 07:32:56.992859+00:00
7f667897-6fd7-43c4-8f78-7e460258f5f5,HOT-00018,青森 プラザホテル,Japan,青森,青森,upscale,4,450,25870,29.21536569366259,142.08424793287296,2026-04-30 07:32:56.992914+00:00
