payment_id,booking_id,payment_method,payment_status,amount_jpy,currency,exchange_rate_to_jpy,paid_at,installment_count,loaded_at
ba44c268-4dee-4f00-af76-0f6783a35541,e0c483d2-0ba3-4691-986e-471df5c8c39c,bank_transfer,succeeded,199441,JPY,1.0,2023-02-13 00:00:00+00:00,1,2026-04-30 07:32:57.041197+00:00
2ef49edf-4cad-458d-9246-2de0f0666bce,a6a5a35d-36a7-4af3-a215-c6f9f24fd2b7,credit_card,succeeded,98786,JPY,1.0,2024-04-02 00:00:00+00:00,1,2026-04-30 07:32:57.045678+00:00
b99a4565-dd54-47c2-a347-5fc4dac87684,100588e8-eab4-48b6-ba93-fac8611a7c41,credit_card,succeeded,862551,JPY,1.0,2024-01-21 00:00:00+00:00,1,2026-04-30 07:32:57.048498+00:00
317a18b6-ab44-425f-937b-36447f303c2f,348fa197-84a4-4459-b6ce-a07d4d89edf8,credit_card,succeeded,1890730,JPY,1.0,2025-04-25 00:00:00+00:00,1,2026-04-30 07:32:57.050345+00:00
bc85bb0b-fbde-4a64-99fc-941370c718eb,d5b4837d-c719-4832-8dc4-e6fe3f476d8a,credit_card,succeeded,5358654,JPY,1.0,2025-08-29 00:00:00+00:00,1,2026-04-30 07:32:57.051065+00:00
ee6b9561-8022-44d9-b1c8-5b362ff7a081,9f06b468-afca-48b8-915a-821a2b1e29f9,bank_transfer,succeeded,429961,JPY,1.0,2024-12-13 00:00:00+00:00,1,2026-04-30 07:32:57.053926+00:00
41c113f0-9564-448c-b2a9-609bf48d950d,e546c7f9-a134-49df-9d26-e018b8265f70,bank_transfer,succeeded,270302,JPY,1.0,2022-11-19 00:00:00+00:00,1,2026-04-30 07:32:57.055250+00:00
30295e8c-cc5c-4ce9-948b-014e2c573087,2e0e95e9-c301-427a-8a1b-04643bff2d7c,bank_transfer,succeeded,535375,JPY,1.0,2023-07-31 00:00:00+00:00,1,2026-04-30 07:32:57.055586+00:00
10b0a2f9-98ba-4405-ab3b-75843a190398,281f6c99-2f0c-45e2-aeed-a9178ae6c158,credit_card,succeeded,128516,JPY,1.0,2025-10-15 00:00:00+00:00,1,2026-04-30 07:32:57.056155+00:00
09a68e8b-93d3-403b-9d89-e6d02ec908ec,5b9bf834-3836-4c4f-9b75-d069a52dba48,credit_card,refunded,1211112,JPY,1.0,2022-08-15 00:00:00+00:00,1,2026-04-30 07:32:57.057007+00:00
3c62c5ac-e60a-40fd-afe4-08e6c744fc69,45a7c329-d6e7-4e57-b1f7-7ac6f55d86d8,credit_card,succeeded,77766,JPY,1.0,2024-01-29 00:00:00+00:00,1,2026-04-30 07:32:57.057654+00:00
2590bc43-8725-428b-be9a-854ae4d3bf99,7107122d-9fba-4480-8017-0c0e532774bf,credit_card,succeeded,209757,JPY,1.0,2025-11-22 00:00:00+00:00,1,2026-04-30 07:32:57.062507+00:00
78079941-e25d-463a-8ea0-132a715cca77,f4bd0d7a-8732-404f-8980-392acbc36a91,credit_card,succeeded,798959,JPY,1.0,2025-11-19 00:00:00+00:00,1,2026-04-30 07:32:57.063558+00:00
960e016d-5bc6-4462-8bbe-99b35f2da4c6,9dcbca86-2425-4984-90c6-eb8c7de2d527,credit_card,succeeded,636824,JPY,1.0,2024-02-20 00:00:00+00:00,1,2026-04-30 07:32:57.064862+00:00
37836dc9-102f-4cd3-9c8f-8af5999b471e,7881ba4a-155c-4e74-bd5c-fc638927c14b,bank_transfer,succeeded,270692,JPY,1.0,2025-01-07 00:00:00+00:00,1,2026-04-30 07:32:57.065657+00:00
5b0d5399-94d8-43e8-91d7-5e029467d087,ead83b1c-2429-42ae-9803-633163973dca,credit_card,succeeded,1893206,JPY,1.0,2024-03-01 00:00:00+00:00,1,2026-04-30 07:32:57.066012+00:00
26ba3d9b-8271-4896-b65b-06ebfbab7d50,6cf2edd7-af31-4989-91d7-5b26e1e5d2ee,voucher,succeeded,785547,USD,152.0,2025-02-24 00:00:00+00:00,1,2026-04-30 07:32:57.067276+00:00
8ca42bea-19bd-4665-aee5-bca3b4c05c28,7e13aa7a-68f1-4435-a1f4-fe3a9b88e15f,bank_transfer,succeeded,475359,USD,130.0,2022-03-30 00:00:00+00:00,1,2026-04-30 07:32:57.068071+00:00
6118a541-9996-4c74-b84b-d2d4cce8df26,a6ee92e9-6d11-404a-b1be-7eb885e7d921,bank_transfer,succeeded,405570,JPY,1.0,2022-12-10 00:00:00+00:00,1,2026-04-30 07:32:57.068739+00:00
8d6e49f8-e810-4723-9d62-ee4ecc2e9d1b,25444f69-927e-491f-8708-a3db91c81a68,credit_card,succeeded,137714,JPY,1.0,2024-10-26 00:00:00+00:00,1,2026-04-30 07:32:57.069968+00:00
a4f11ce3-7e4e-4502-a2d0-ef8ba65cd0be,480c0f87-de0f-4423-a00b-ef45c7b6ac6f,credit_card,succeeded,225697,JPY,1.0,2023-05-28 00:00:00+00:00,1,2026-04-30 07:32:57.070379+00:00
eb5ffc1f-7c98-456e-93a6-9122b24f2243,169378e0-2b06-4595-8033-43b5a529c6b0,credit_card,succeeded,229700,JPY,1.0,2024-12-10 00:00:00+00:00,1,2026-04-30 07:32:57.071633+00:00
d221260c-6087-4a94-8312-0cb381261434,56e0e604-28c3-419b-a6ed-0607d3138380,credit_card,succeeded,539438,JPY,1.0,2023-11-10 00:00:00+00:00,1,2026-04-30 07:32:57.072230+00:00
4bd1df07-8dc4-4965-82eb-734f46c3fcfe,c3debf7f-cef3-4c36-a1da-561bec0071b3,credit_card,succeeded,337962,JPY,1.0,2025-09-08 00:00:00+00:00,1,2026-04-30 07:32:57.073475+00:00
60427264-bee3-490d-a8c8-f7d673fd9f8c,0d9254fa-38c9-4707-8439-33a235f7c0ca,credit_card,succeeded,497224,JPY,1.0,2025-07-09 00:00:00+00:00,1,2026-04-30 07:32:57.073822+00:00
88c0164c-408c-424d-bdf7-79ea3372dfb9,3b10e400-2145-4838-a9f8-dcc65dd55292,voucher,succeeded,1613862,JPY,1.0,2024-04-22 00:00:00+00:00,1,2026-04-30 07:32:57.074308+00:00
626518d3-fcc3-4bd9-af96-486ee0edc697,7e3650d0-af8a-417d-acdb-be019e61e54a,point,succeeded,217548,JPY,1.0,2025-01-13 00:00:00+00:00,1,2026-04-30 07:32:57.075048+00:00
e9ecea4a-9d6b-467e-a2a2-9dc204bba327,d3e6b66a-1abf-4afb-94f0-d5ad92d3a958,pay_at_store,succeeded,703024,JPY,1.0,2023-07-18 00:00:00+00:00,1,2026-04-30 07:32:57.075724+00:00
7b14ad46-436f-41e1-ae39-d5c9c869dc39,71d04c31-41c0-46e8-a135-e0dc89f9b154,credit_card,succeeded,869008,JPY,1.0,2024-05-22 00:00:00+00:00,1,2026-04-30 07:32:57.077678+00:00
7a86b707-03df-47e5-a993-59de8e339312,577abafc-0513-4396-88c6-1b3ffcc2b7c2,credit_card,succeeded,190637,JPY,1.0,2023-04-12 00:00:00+00:00,1,2026-04-30 07:32:57.078419+00:00
60d1f8b3-9d85-468c-b3e2-99c047ac6d0b,135934ec-41fe-491a-a535-95a9485874a0,credit_card,succeeded,2421692,JPY,1.0,2025-08-04 00:00:00+00:00,1,2026-04-30 07:32:57.079600+00:00
8f99afbf-5a20-4d46-8f26-f7d3780b7cd8,431c7acd-38cf-4b65-a886-ff6907ad0c50,credit_card,succeeded,80552,JPY,1.0,2025-07-06 00:00:00+00:00,1,2026-04-30 07:32:57.080320+00:00
cafc1b99-bb37-48d7-b2a2-edc7e0c8e417,d4fe5ef5-d91d-4327-8af9-6d78d74f1a37,bank_transfer,succeeded,32830,JPY,1.0,2025-09-11 00:00:00+00:00,2,2026-04-30 07:32:57.082778+00:00
f3a27019-f248-4744-8de7-b5c28924bbe6,d4fe5ef5-d91d-4327-8af9-6d78d74f1a37,point,succeeded,32830,JPY,1.0,2025-10-12 00:00:00+00:00,2,2026-04-30 07:32:57.082817+00:00
b9340574-9c74-40bd-95cb-6510072807fa,af5326d2-3c4a-4309-b701-6ef55a2b2c58,pay_at_store,succeeded,80740,JPY,1.0,2025-07-14 00:00:00+00:00,1,2026-04-30 07:32:57.083367+00:00
343b3846-4a23-4cc8-99ee-1569ae7ca44b,38ac4b69-8321-4061-832e-ed76bc9a8749,credit_card,succeeded,201276,JPY,1.0,2025-12-11 00:00:00+00:00,1,2026-04-30 07:32:57.087586+00:00
fbb63d2e-4974-4ab0-86c3-6cb2916d0c38,2ca5ef51-9cf8-4bcf-bb84-d8f48a80b642,voucher,succeeded,90253,JPY,1.0,2023-04-09 00:00:00+00:00,1,2026-04-30 07:32:57.088535+00:00
dc075401-9509-429e-a18d-7f5304beae33,4548284e-8f2a-43fe-a2b6-d02892efba21,credit_card,succeeded,102308,JPY,1.0,2025-10-17 00:00:00+00:00,1,2026-04-30 07:32:57.089390+00:00
1af66f77-62cd-4cae-b1b8-1ec77dc4c801,72553583-444e-495e-b8dc-4d30684b7e10,voucher,succeeded,797888,JPY,1.0,2024-08-13 00:00:00+00:00,1,2026-04-30 07:32:57.093233+00:00
340921cc-312f-4abd-a4ed-b691a87c15ff,6f61c36e-b5bd-4c03-b24a-199dee9299f1,bank_transfer,succeeded,93776,JPY,1.0,2024-02-03 00:00:00+00:00,1,2026-04-30 07:32:57.094094+00:00
0a3680c9-dc4a-4fc0-a2c8-cdc3945b51ad,d311f0d9-cfe3-4d47-b0d4-27b72a42f98d,pay_at_store,succeeded,1661828,JPY,1.0,2024-07-31 00:00:00+00:00,1,2026-04-30 07:32:57.095853+00:00
fd9a236e-d44c-497b-b2a0-77fbc8af48d0,0baffa65-f506-4f28-96ce-220d9db33aef,credit_card,succeeded,111472,JPY,1.0,2023-10-30 00:00:00+00:00,1,2026-04-30 07:32:57.096638+00:00
89b0b527-83c4-479b-828e-ce61e6bfd717,cabd5f8c-a4cd-4bb8-b61f-73fb1e6f8b7b,credit_card,succeeded,1042268,JPY,1.0,2023-07-30 00:00:00+00:00,1,2026-04-30 07:32:57.097295+00:00
fa4a7ff0-b9a6-4a8b-bd27-27b56687a4b0,9c3ff3c1-268f-4211-a227-7410992c0de7,credit_card,succeeded,226061,EUR,152.0,2023-06-07 00:00:00+00:00,1,2026-04-30 07:32:57.098053+00:00
e3b0e1f6-092b-458e-8ca2-5d2484828dc1,e769d726-69d0-446b-9070-4697b42d2894,credit_card,succeeded,880736,JPY,1.0,2022-07-31 00:00:00+00:00,1,2026-04-30 07:32:57.098765+00:00
f7f429f6-ed7a-40c4-9f1e-7b8fcda01fd9,9602ca38-5baf-4ee5-97e0-4220473ef4c3,credit_card,succeeded,371408,JPY,1.0,2024-04-19 00:00:00+00:00,2,2026-04-30 07:32:57.099249+00:00
fa167e00-abcb-477b-8b02-98fadf9668fb,9602ca38-5baf-4ee5-97e0-4220473ef4c3,credit_card,succeeded,371408,JPY,1.0,2024-05-11 00:00:00+00:00,2,2026-04-30 07:32:57.099288+00:00
b30240c7-7b29-4a4c-a297-b6a9a036e5db,8085739e-2fd4-407f-92bc-f58ce02eb9f2,credit_card,succeeded,151033,JPY,1.0,2025-09-21 00:00:00+00:00,1,2026-04-30 07:32:57.100631+00:00
58dba4bc-c7e8-45c8-ba81-4bb38d40f09f,a0b2b695-3086-4aed-a790-8b609aeebfe3,pay_at_store,succeeded,348768,JPY,1.0,2024-11-14 00:00:00+00:00,1,2026-04-30 07:32:57.102593+00:00
97de8667-004a-44c1-a8f2-d88af27efa4e,3d9e4117-b436-4389-8442-4b7a9b4f567d,credit_card,succeeded,2640580,JPY,1.0,2024-07-04 00:00:00+00:00,1,2026-04-30 07:32:57.103425+00:00
