cancellation_id,booking_id,cancelled_at,cancellation_reason,cancellation_lead_days,cancellation_fee_jpy,refund_amount_jpy,refund_status,loaded_at
34b14032-e9a2-4234-92ae-fb84cfe9db42,5b9bf834-3836-4c4f-9b75-d069a52dba48,2022-08-07 00:00:00+00:00,change_of_plan,16,242222,968890,processed,2026-04-30 07:32:57.057121+00:00
afb1c7ec-4d96-4dac-b719-f4eb62548745,72553583-444e-495e-b8dc-4d30684b7e10,2024-08-17 00:00:00+00:00,other,17,159577,638311,processed,2026-04-30 07:32:57.093458+00:00
a2e20f8a-8d21-4d4a-b4dc-88a408c49dea,6f61c36e-b5bd-4c03-b24a-199dee9299f1,2024-02-08 00:00:00+00:00,personal,39,0,93776,processed,2026-04-30 07:32:57.094173+00:00
f130dc54-50ed-4d5f-814a-c0501710dac6,e769d726-69d0-446b-9070-4697b42d2894,2022-08-03 00:00:00+00:00,other,9,176147,704589,processed,2026-04-30 07:32:57.098842+00:00
fe44a09b-ff97-4054-988f-122914c12a2f,afc5dbf3-7861-4bd6-b5d8-eb073c53a622,2024-03-21 00:00:00+00:00,personal,5,363622,363622,processed,2026-04-30 07:32:57.104293+00:00
ddc97766-f1f8-4c2e-953a-dc1734dda77c,62b3f080-da72-4d96-9408-79836e71515d,2023-03-21 00:00:00+00:00,other,31,0,308738,pending,2026-04-30 07:32:57.113263+00:00
9d59e276-17fe-4c6d-bf26-f19417cd19f1,03c35c14-780c-44b1-8181-dd258962a8e8,2024-07-15 00:00:00+00:00,force_majeure,44,0,774070,denied,2026-04-30 07:32:57.162209+00:00
ef703405-d53c-42f0-98c7-612e8d741565,fa9a8f3f-7241-44a9-91a7-e099b32c57fc,2022-10-09 00:00:00+00:00,health,3,164157,164157,processed,2026-04-30 07:32:57.165644+00:00
080b4987-92d5-4229-a7b7-db132ec45e23,3e7bd982-4523-4500-9594-9bcf1d603b30,2025-06-29 00:00:00+00:00,personal,39,0,1696206,processed,2026-04-30 07:32:57.170151+00:00
649b7145-a262-4359-891e-81be34fc0bd2,f0676702-50bb-4153-8ad7-eabcfddaf2b1,2024-03-18 00:00:00+00:00,price_dissatisfaction,31,0,340533,processed,2026-04-30 07:32:57.189435+00:00
e5c630af-21ff-4683-a34b-24e20f4cdfd1,2bdbc366-c790-436f-95de-8aea9db8c441,2025-03-17 00:00:00+00:00,change_of_plan,32,0,130939,processed,2026-04-30 07:32:57.207925+00:00
5fddc0ed-b6b6-4a46-8534-a7cfe54d1d4b,6c637446-a6e9-4804-98a0-f93292f04f70,2023-05-06 00:00:00+00:00,other,21,44998,179996,pending,2026-04-30 07:32:57.240893+00:00
3301b6dd-492f-4a10-b2de-7698d9e15d4c,2269ae98-9606-42a7-8c1a-cf8a59cac0a2,2023-06-09 00:00:00+00:00,health,22,141478,565914,processed,2026-04-30 07:32:57.244869+00:00
94be509b-eac8-4fdc-a4b1-0c02e9a49428,3ddc7d23-e7be-4a83-89d8-2040b3459591,2025-08-17 00:00:00+00:00,personal,4,51878,51878,processed,2026-04-30 07:32:57.246624+00:00
