booking_id,booking_code,customer_id,campaign_id,plan_name,product_type,destination_country,destination_region,destination_city,destination_type,season,departure_date,return_date,duration_days,pax,pax_adult,pax_child,total_revenue_jpy,price_per_person_jpy,booking_date,lead_time_days,booking_status,loaded_at
031c43b7-e977-4da8-82ee-dbbb01d8efe4,BK-2022-000000,43bdc25b-5236-4235-a50a-cbd02ef85a51,,長野6泊7日グループプラン (春),freeplan,Japan,長野,長野,domestic,spring,2022-03-13,2022-03-14,2,4,4,0,199216,49804,2022-02-13,28,completed,2026-04-30 07:43:36.149576+00:00
c8aad1de-4985-49d7-a6f6-c608ff8d60c5,BK-2026-000001,71aeef77-5915-45d8-a130-4e69748fff71,,沖縄4泊5日ひとり旅プラン (冬),fit,Japan,沖縄,那覇,domestic,winter,2026-01-21,2026-01-23,3,1,1,0,323294,323294,2025-11-25,57,completed,2026-04-30 07:43:36.150820+00:00
2cd2ea08-f1e6-4c04-8a56-232cf2c8a65d,BK-2023-000002,b82701bf-4bf6-4628-aa4e-3324b3da7863,,東京6泊7日ファミリープラン (夏),fit,Japan,東京,東京,domestic,summer,2023-06-19,2023-06-20,2,2,2,0,938180,469090,2023-05-05,45,cancelled,2026-04-30 07:43:36.151515+00:00
928f91e5-d046-46c0-862b-166a9bb4f9c6,BK-2025-000003,84fef0f1-e10f-4207-bffd-8d190b025639,,東京3泊4日グループプラン (冬),domestic_package,Japan,東京,東京,domestic,winter,2025-12-26,2025-12-28,3,7,7,0,261695,37385,2025-12-07,19,completed,2026-04-30 07:43:36.154246+00:00
e17c5e5e-c989-409d-9e48-1f1b009d80ca,BK-2025-000004,2acd7832-0a89-421f-b595-e12116f2f1b6,,北海道6泊7日ファミリープラン (秋),freeplan,Japan,北海道,札幌,domestic,autumn,2025-11-09,2025-11-14,6,8,3,5,548120,68515,2025-10-18,22,completed,2026-04-30 07:43:36.155149+00:00
4e2658e2-d1a8-49dd-8753-cbc32ed56ab4,BK-2024-000005,151f393e-5a18-4dab-a023-b1f688726a57,,その他4泊5日学生プラン (冬),freeplan,Japan,その他,その他,domestic,winter,2024-02-26,2024-02-27,2,3,3,0,185148,61716,2024-01-03,54,completed,2026-04-30 07:43:36.156184+00:00
075655c6-667f-422d-ba0c-5efc245c81c7,BK-2024-000006,2aa9d9d9-f180-44f5-b855-1c9c401425ed,,大阪6泊7日カップルプラン (秋),freeplan,Japan,大阪,大阪,domestic,autumn,2024-11-05,2024-11-05,1,3,3,0,137694,45898,2024-06-16,142,completed,2026-04-30 07:43:36.172937+00:00
bc659f55-2f88-4b14-9f85-85ad4361a2c4,BK-2024-000007,545b4899-f166-4602-898b-cbdb3bb3ffda,,韓国周遊4泊5日カップル向け (春),cruise,South Korea,韓国,Seoul,outbound,spring,2024-03-03,2024-03-10,8,1,1,0,506091,506091,2024-01-11,52,completed,2026-04-30 07:43:36.173456+00:00
18321d52-c573-4d2d-955a-518710f0dc77,BK-2023-000008,60f81d52-1ed4-466e-8d9d-dcb26a75ace2,,京都3泊4日シニアプラン (秋),domestic_package,Japan,京都,京都,domestic,autumn,2023-10-10,2023-10-14,5,2,2,0,334926,167463,2023-09-10,30,completed,2026-04-30 07:43:36.176721+00:00
084f9f03-65a6-42f5-a3d6-96410af0249f,BK-2026-000009,89057e5b-810b-42f7-996a-450dd9a7e454,,オーストラリア周遊3泊4日ファミリー向け (冬),outbound_package,Australia,オーストラリア,Sydney,outbound,winter,2026-02-02,2026-02-07,6,7,2,5,1730505,247215,2025-12-11,53,completed,2026-04-30 07:43:36.178783+00:00
a4d2375a-1300-4965-9c2b-c8a56617bd02,BK-2025-000010,b6170fee-d7f5-4874-a09a-4270cb9a8016,,シンガポール周遊2泊3日グループ向け (秋),fit,Singapore,シンガポール,Singapore,outbound,autumn,2025-09-05,2025-09-08,4,8,8,0,1872944,234118,2025-08-07,29,completed,2026-04-30 07:43:36.180420+00:00
6e55393a-42e3-430b-a39e-ba3146422ba7,BK-2023-000011,df85b1ea-0d29-4097-b309-9b5e262e557e,,ベトナム周遊3泊4日グループ向け (夏休み),outbound_package,Vietnam,ベトナム,Hanoi,outbound,obon,2023-08-15,2023-08-21,7,5,5,0,477395,95479,2023-07-18,28,completed,2026-04-30 07:43:36.184249+00:00
863b464c-b074-4180-9159-141090195469,BK-2023-000012,c3361ab9-623d-40ff-a404-5a49073c9e28,,イタリア周遊3泊4日シニア向け (夏),outbound_package,Italy,イタリア,Rome,outbound,summer,2023-08-22,2023-08-24,3,1,1,0,278354,278354,2023-07-12,41,completed,2026-04-30 07:43:36.186423+00:00
47880181-8e34-4f17-bcd3-74c0b8bfb763,BK-2025-000013,3af6ebfb-e588-4bec-bd62-20a92d8e1992,,韓国周遊3泊4日ファミリー向け (春),cruise,South Korea,韓国,Seoul,outbound,spring,2025-03-02,2025-03-08,7,7,6,1,3805963,543709,2024-06-25,250,completed,2026-04-30 07:43:36.188459+00:00
ad670fda-3931-40c3-aeb7-204acaff53b9,BK-2023-000014,04f45eb0-377c-4631-ab57-c55549216d6f,,イタリア周遊3泊4日ファミリー向け (春),outbound_package,Italy,イタリア,Rome,outbound,spring,2023-04-16,2023-04-21,6,2,1,1,211834,105917,2023-03-27,20,completed,2026-04-30 07:43:36.190676+00:00
4d45a2a8-877f-45a5-920e-f1f8b82fd504,BK-2024-000015,739772dc-2628-4893-a942-bfe4cd2e60fa,,その他周遊3泊4日ファミリー向け (秋),fit,Japan,その他,その他,outbound,autumn,2024-10-26,2024-10-29,4,5,1,4,397870,79574,2024-09-16,40,completed,2026-04-30 07:43:36.191728+00:00
8185baaa-b681-4b60-8480-900a634db0d5,BK-2023-000016,8c88427e-8e97-4115-9c62-26ecac480e91,,愛知3泊4日学生プラン (GW),domestic_package,Japan,愛知,名古屋,domestic,gw,2023-05-03,2023-05-03,1,3,3,0,140100,46700,2023-04-03,30,completed,2026-04-30 07:43:36.206312+00:00
c65058b9-89b3-4bd6-824c-a341db8397a1,BK-2023-000017,bc441772-77dd-430c-8ebc-a35f5f46d9bd,,台湾周遊6泊7日ひとり旅向け (冬),fit,Taiwan,台湾,Taipei,outbound,winter,2023-12-25,2023-12-26,2,2,2,0,576424,288212,2023-11-13,42,completed,2026-04-30 07:43:36.207445+00:00
1f2988a7-a5e0-4308-b3db-786594291ead,BK-2023-000018,740f23e1-9d54-4a09-808d-71807ec42bcd,,タイ周遊4泊5日カップル向け (春),fit,Thailand,タイ,Bangkok,outbound,spring,2023-05-08,2023-05-13,6,3,3,0,338121,112707,2023-02-05,92,cancelled,2026-04-30 07:43:36.208490+00:00
